Technique,k,HP_n_estimators,HP_max_depth,Class,Accuracy,F1_Score,Precision,Recall
SHAP,28,400,10,0,0.999159193,0.995636237,0.992138037,0.999159193
SHAP,28,400,10,1,0.991400491,0.990791897,0.990184049,0.991400491
SHAP,28,400,10,2,0.998601007,0.999230069,0.999859924,0.998601007
SHAP,28,400,10,3,0.869047619,0.926984127,0.993197279,0.869047619
SHAP,28,400,10,4,0.903307888,0.946666667,0.994397759,0.903307888
MI,32,300,10,0,0.999159193,0.995566726,0.992,0.999159193
MI,32,300,10,1,0.992628993,0.990803188,0.988984088,0.992628993
MI,32,300,10,2,0.998740907,0.999300112,0.999859944,0.998740907
MI,32,300,10,3,0.880952381,0.933753943,0.993288591,0.880952381
MI,32,300,10,4,0.8956743,0.943067649,0.995756719,0.8956743
Correlation,32,200,10,0,0.99922926,0.995393313,0.991586706,0.99922926
Correlation,32,200,10,1,0.99017199,0.988957055,0.987745098,0.99017199
Correlation,32,200,10,2,0.998601007,0.999230069,0.999859924,0.998601007
Correlation,32,200,10,3,0.880952381,0.933753943,0.993288591,0.880952381
Correlation,32,200,10,4,0.891857506,0.942204301,0.998575499,0.891857506
RF Feature Importance,32,200,10,0,0.999369395,0.995498168,0.991656817,0.999369395
RF Feature Importance,32,200,10,1,0.991400491,0.992009834,0.992619926,0.991400491
RF Feature Importance,32,200,10,2,0.998601007,0.999230069,0.999859924,0.998601007
RF Feature Importance,32,200,10,3,0.880952381,0.933753943,0.993288591,0.880952381
RF Feature Importance,32,200,10,4,0.891857506,0.940939597,0.995738636,0.891857506
SHAP,32,300,10,0,0.999089126,0.995601173,0.99213749,0.999089126
SHAP,32,300,10,1,0.991400491,0.990184049,0.988970588,0.991400491
SHAP,32,300,10,2,0.998601007,0.999230069,0.999859924,0.998601007
SHAP,32,300,10,3,0.898809524,0.946708464,1,0.898809524
SHAP,32,300,10,4,0.89821883,0.943850267,0.994366197,0.89821883
